"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R10,R11,R15";"R_0805";3;"10k";;;
2;"SW1,SW2";"SW_SPST_PTS645";2;"SW_PUSH";;;
3;"SEG2,SEG1";"ACSC56-41SRWA-F01";2;"HDSP-C5A3";;;
4;"R4,R1,R2,R3,R5,R6,R7,R8";"R_0805";8;"110";;;
5;"C2,C5";"C_0805";2;"0.1uF";;;
6;"C3";"C_0805";1;"10uF";;;
7;"C4";"C_0805";1;"22uF";;;
8;"C7,C8";"C_0805";2;"C";;;
9;"R9,R12";"R_0805";2;"4K7";;;
10;"R13,R14";"R_0805";2;"22k";;;
11;"U1";"SOT89-3_Housing";1;"LD1117S33TR";;;
12;"R16";"C_0603_HandSoldering";1;"0";;;
13;"P2";"prog_smd_pads";1;"CONN_02X03";;;
14;"C6";"C_0805_HandSoldering";1;"0.1uF";;;
15;"Q1,Q2";"SOT-23";2;"BC849";;;
16;"P1";"2x3-male-pin-header-smd-board-edge";1;"CONN_02X03";;;
17;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal";;;
18;"IC1";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"ATMEGA168PA-A";;;
